nama,alamat,wilayah,penanggung_jawab,telepon,jenis_kopi_yang_diekspor
PT. Panca Global,"Jl. Bandengan Utara I No. 53, Kel. Pekojan, Kec. Tambora",Jakarta Barat,Ir. Kajo Harto Sugianto ,021-6901624,"kopi Sumatera, Kopi Bali, Kopi Jawa"
PT. Al Zaitun Berjaya,"Gedung IS Plaza Lt. 5 R.504, Jl. Pramuka Raya Kav. 150 RT. 009/005, Kel. Utan Kayu, Kec. Matraman",Jakarta Timur,Nabil Salim ,021-29613933 ,Kopi 
PT. JPW Indonesia,"Blok M Square, Lt. Basement Blok C No. 336, Kel. Melawai, Kec. Kebayoran Baru",Jakarta Selatan,Togu Panandaditya Siregar ,021-7821186,Kopi 
CV. Arnaelis Global Eksport,"Jl. Gedong Panjang No. 43 A RT. 001 RW. 010, Kel. Penjaringan, Kec. Penjaringan",Jakarta Utara,Indah Arnaelis ,021-22661213,Kopi Biji dan Kopi Bubuk Instan
PT. Prime Global Connection,"Rukan Grand Puri Niaga, Jl. Puri Kencana Blok K6 No. 3Q, RT. 010/RW. 007, Kel. Kembangan Selatan, Kec. Kembangan",Jakarta Barat,Andrei Agustinus Handoko ,021-58304541,Kopi Biji dan Kopi Bubuk Instan
PT. Bijie Kopie Nusaprima,"Sentral Senayan II Lt. 16, Jl. Asia Afrika No. 8, Kel. Gelora, Kec. Tanah Abang,",Jakarta Pusat ,Gary Satya Wicaksana ,021-29655845,Kopi Arabica
PT. Kopi Asli Indonesia,"Jl. Teuku Cik Ditiro No. 52, Kel. Menteng, Kec. Menteng, ",Jakarta Pusat ,Irvan Helmi ,021-3106370,Kopi Biji Toraja dan Kopi Biji Papua 
PT. Sinar Karunia Sejahtera,"Jl. Agung Niaga III Blok G4/2, RT./RW. 014/013, Kel. Sunter Agung, Kec. Tanjung Priok",Jakarta  Utara ,Kumar Ramchand Melwani ,021-6411563/64,Kopi 
PT. Talkindo Selaksa Anugrah,"Taman Ratu Indah A-1 No. 23, RT. 001 RW. 013, Kel. Duri Kepa, Kec. Kebon Jeruk",Jakarta Barat ,Robert Suteja ,021-5859545,Green Bean Sumatera dan Jawa 
PT. Trimitra Mulia Abadi,"Plaza 3 Pondok Indah Blok F No. 6, Kel. Pondok Pinang, Kec. Kebayoran Lama",Jakarta Selatan,H Herman Mangan ,021-7651611,Kopi 
